Title,Year,Rated,Released,Runtime,Metascore,imdbRating,Type,BoxOffice
Tango (feroz),2001,N/A,N/A,44 min,N/A,7.5,movie,N/A
Space Station 76,2014,R,08 Mar 2014,1 min,49,4.9,movie,N/A
Aftermath,2017,R,07 Apr 2017,94 min,44,5.6,movie,N/A
Car Masters: Rust to Riches,2018–,TV-PG,14 Sep 2018,43S min,N/A,8.4,series,na
Cocaine Cowboys: The Kings of Miami,2021,TV-MA,04 Aug 2021,N/A,N/A,7.1,series,na
Control Z,2020–2022,TV-MA,22 May 2020,37 min,N/A,6.9,series,na
Cooking with Paris,2021,TV-MA,04 Aug 2021,1 min,N/A,5.3,series,na
Autumn's Concerto,2009–2010,N/A,04 Oct 2009,90 min,N/A,7.8,series,na
Heavy,1995,R,05 Jun 1996,105 min,75,6.8,movie,"$941,414"
Ijé: The Journey,2010,N/A,30 Jul 2010,107 min,N/A,6.2,movie,N/A
Office Girls,2011–,N/A,21 Aug 2011,90 min,N/A,6.8,series,na
Pray Away,2021,PG-13,03 Aug 2021,2 min,76,6.5,movie,N/A
Shiny_Flakes: The Teenage Drug Lord,2021,TV-MA,03 Aug 2021,96 min,N/A,7.3,movie,N/A
Top Secret UFO Projects: Declassified,2021–,N/A,19 Jan 2021,N/A,N/A,5.5,series,na
Two Fathers,2013,N/A,26 Mar 2013,50 min,N/A,7.7,series,na
You're My Destiny,2017,N/A,04 Sep 2017,60 min,N/A,7.6,series,na
30 Rock,2006–2013,TV-14,11 Oct 2006,22 min,N/A,8.3,series,na
44 Cats,2018–,TV-Y7,10 Jun 2019,13 min,N/A,6.0,series,na
Beethoven,1992,PG,03 Apr 1992,2 min,N/A,5.7,movie,"$57,114,049"
Beethoven's 2nd,1993,PG,17 Dec 1993,2 min,N/A,4.9,movie,"$53,443,066"
Beowulf,2007,PG-13,16 Nov 2007,115 min,59,6.3,movie,"$82,280,579"
Boyka: Undisputed,2016,R,27 Jul 2017,86 min,N/A,7.0,movie,N/A
Catch Me If You Can,2002,PG-13,25 Dec 2002,2 min,75,8.1,movie,"$164,615,351"
Cloudy with a Chance of Meatballs,2009,PG,18 Sep 2009,2 min,66,6.9,movie,"$124,870,275"
Darwin's Game,2020–,TV-14,04 Jan 2020,23 min,N/A,7.2,series,na
